/* DATA DESCRIPTION:
Citation:	Cauquoin, Alexandre; Landais, Amaëlle; Raisbeck, Grant M; Jouzel, Jean; Bazin, Lucie; Kageyama, Masa; Peterschmitt, Jean-Yves; Werner, Martin; Bard, Edouard; ASTER Team (2015): Beryllium-10 concentration in the EPICA Dome C core between 2384.36 and 2626.25 m deep (269-355 ka on the EDC3 age scale) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.868834, 
	Supplement to: Cauquoin, A et al. (2015): Comparing past accumulation rate reconstructions in East Antarctic ice cores using 10Be, water isotopes and CMIP5-PMIP3 models. Climate of the Past, 11(3), 355-367, https://doi.org/10.5194/cp-11-355-2015
Abstract:	Ice cores are exceptional archives which allow us to reconstruct a wealth of climatic parameters as well as past atmospheric composition over the last 800 kyr in Antarctica. Inferring the variations in past accumulation rate in polar regions is essential both for documenting past climate and for ice core chronology. On the East Antarctic Plateau, the accumulation rate is so small that annual layers cannot be identified and accumulation rate is mainly deduced from the water isotopic composition assuming constant temporal relationships between temperature, water isotopic composition and accumulation rate. Such an assumption leads to large uncertainties on the reconstructed past accumulation rate. Here, we use high-resolution beryllium-10 (10Be) as an alternative tool for inferring past accumulation rate for the EPICA Dome C ice core, in East Antarctica. We present a high-resolution 10Be record covering a full climatic cycle over the period 269 to 355 ka from Marine Isotope Stage (MIS) 9 to 10, including a period warmer than pre-industrial (MIS 9.3 optimum). After correcting 10Be for the estimated effect of the palaeomagnetic field, we deduce that the 10Be reconstruction is in reasonably good agreement with EDC3 values for the full cycle except for the period warmer than present. For the latter, the accumulation is up to 13% larger (4.46 cm ie per yr instead of 3.95). This result is in agreement with the studies suggesting an underestimation of the deuterium-based accumulation for the optimum of the Holocene (Parrenin et al., 2007, doi:10.5194/cp-3-243-2007). Using the relationship between accumulation rate and surface temperature from the saturation vapour relationship, the 10Be-based accumulation rate reconstruction suggests that the temperature increase between the MIS 9.3 optimum and present day may be 2.4 K warmer than estimated by the water isotopes reconstruction. We compare these reconstructions to the available model results from CMIP5-PMIP3 for a glacial and an interglacial state, i.e. for the Last Glacial Maximum and pre-industrial climates. While 3 out of 7 models show relatively good agreement with the reconstructions of the accumulation-temperature relationships based on 10Be and water isotopes, the other models either underestimate or overestimate it, resulting in a range of model results much larger than the range of the reconstructions. Indeed, the models can encounter some difficulties in simulating precipitation changes linked with temperature or water isotope content on the East Antarctic Plateau during glacial-interglacial transition and need to be improved in the future.
Related to:	Cauquoin, Alexandre; Raisbeck, Grant M; Jouzel, Jean; Bard, Edouard; ASTER Team (2014): No evidence for planetary influence on solar activity 330,000 years ago. Astronomy & Astrophysics, 561, A132, https://doi.org/10.1051/0004-6361/201322879
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 2384.36 m * MAXIMUM DEPTH, ice/snow: 2626.25 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	To calculate the flux of 10Be: See equation 6 in Cauquoin et al. (2015) --> F(10Be) = C(10Be) x A x ice_density with A the accumulation rate and the ice density = 0.917 g/cm**3. Correction for the radioactive decay: x exp( ln2 / t1/2 x age) with t1/2 = 1390000 years.
	Projects: "French ANR project Dome A", "ERC grant COMBINISO (project no. 306045)", and "ASTER AMS national facility (CEREGE, Aix en Provence) supported by the INSU/CNRS, and the ANR through the ?Projets thématiques d'excellence? programme for the ?Equipements d'Excellence? ASTER-CEREGE action, IRD, and CEA".
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Cauquoin, Alexandre (https://orcid.org/0000-0002-4620-4696, cauquoin@iis.u-tokyo.ac.jp, https://www.awi.de/en/about-us/organisation/staff/alexandre-cauquoin.html)
	Beryllium-10, water [10**3 atoms/g] (10Be) * PI: Cauquoin, Alexandre (https://orcid.org/0000-0002-4620-4696, cauquoin@iis.u-tokyo.ac.jp, https://www.awi.de/en/about-us/organisation/staff/alexandre-cauquoin.html)
	Reference of data (Ref data) * PI: Cauquoin, Alexandre (https://orcid.org/0000-0002-4620-4696, cauquoin@iis.u-tokyo.ac.jp, https://www.awi.de/en/about-us/organisation/staff/alexandre-cauquoin.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	4396 data points
*/
Depth ice/snow [m]	10Be [10**3 atoms/g]	Ref data
2384.36	113.7276	Cauquoin et al. (2015)
2384.47	102.4101	Cauquoin et al. (2015)
2384.58	102.3888	Cauquoin et al. (2015)
2384.69	99.8198	Cauquoin et al. (2015)
2384.80	100.2345	Cauquoin et al. (2015)
2384.91	138.2174	Cauquoin et al. (2015)
2385.02	124.7000	Cauquoin et al. (2015)
2385.13	122.5603	Cauquoin et al. (2015)
2385.24	118.8413	Cauquoin et al. (2015)
2385.35	105.3813	Cauquoin et al. (2015)
2385.46	111.3263	Cauquoin et al. (2015)
2385.57	106.0575	Cauquoin et al. (2015)
2385.68	112.9855	Cauquoin et al. (2015)
2385.79	154.2579	Cauquoin et al. (2015)
2385.90	101.1876	Cauquoin et al. (2015)
2386.01	108.6784	Cauquoin et al. (2015)
2386.12	105.7640	Cauquoin et al. (2015)
2386.23	105.4334	Cauquoin et al. (2015)
2386.34	103.1680	Cauquoin et al. (2015)
2386.45	97.7407	Cauquoin et al. (2015)
2386.56	107.4018	Cauquoin et al. (2015)
2386.67	137.1925	Cauquoin et al. (2015)
2386.78	108.8701	Cauquoin et al. (2015)
2386.89	105.8730	Cauquoin et al. (2015)
2387.00	109.4425	Cauquoin et al. (2015)
2387.11	123.7367	Cauquoin et al. (2015)
2387.22	107.3023	Cauquoin et al. (2015)
2387.33	125.6372	Cauquoin et al. (2015)
2387.44	114.7902	Cauquoin et al. (2015)
2387.55	116.8070	Cauquoin et al. (2015)
2387.66	140.0397	Cauquoin et al. (2015)
2387.77	142.9444	Cauquoin et al. (2015)
2387.88	118.5685	Cauquoin et al. (2015)
2387.99	111.6173	Cauquoin et al. (2015)
2388.10	98.1880	Cauquoin et al. (2015)
2388.21	117.7103	Cauquoin et al. (2015)
2388.32	115.4661	Cauquoin et al. (2015)
2388.43	120.6704	Cauquoin et al. (2015)
2388.54	113.3893	Cauquoin et al. (2015)
2388.65	113.1377	Cauquoin et al. (2015)
2388.76	125.8294	Cauquoin et al. (2015)
2388.87	114.6964	Cauquoin et al. (2015)
2388.98	110.1899	Cauquoin et al. (2015)
2389.09	118.6834	Cauquoin et al. (2015)
2389.20	117.8213	Cauquoin et al. (2015)
2389.31	103.3001	Cauquoin et al. (2015)
2389.42	100.2400	Cauquoin et al. (2015)
2389.53	104.9318	Cauquoin et al. (2015)
2389.64	109.0202	Cauquoin et al. (2015)
2389.75	122.9213	Cauquoin et al. (2015)
2389.86	135.6279	Cauquoin et al. (2015)
2389.97	117.7601	Cauquoin et al. (2015)
2390.08	131.1147	Cauquoin et al. (2015)
2390.19	132.2778	Cauquoin et al. (2015)
2390.30	121.4277	Cauquoin et al. (2015)
2390.41	132.1966	Cauquoin et al. (2015)
2390.52	119.6922	Cauquoin et al. (2015)
2390.63	150.2798	Cauquoin et al. (2015)
2390.74	128.6912	Cauquoin et al. (2015)
2390.85	119.5390	Cauquoin et al. (2015)
2390.96	137.4285	Cauquoin et al. (2015)
2391.07	125.8504	Cauquoin et al. (2015)
2391.18	133.8827	Cauquoin et al. (2015)
2391.29	143.6781	Cauquoin et al. (2015)
2391.40	123.7600	Cauquoin et al. (2015)
2391.51	153.7146	Cauquoin et al. (2015)
2391.62	134.7204	Cauquoin et al. (2015)
2391.73	151.9841	Cauquoin et al. (2015)
2391.84	128.8818	Cauquoin et al. (2015)
2391.95	117.3643	Cauquoin et al. (2015)
2392.06	125.4521	Cauquoin et al. (2015)
2392.17	116.6795	Cauquoin et al. (2015)
2392.28	117.6520	Cauquoin et al. (2015)
2392.39	146.9296	Cauquoin et al. (2015)
2392.50	117.6994	Cauquoin et al. (2015)
2392.61	114.8034	Cauquoin et al. (2015)
2392.72	127.7457	Cauquoin et al. (2015)
2392.83	120.1041	Cauquoin et al. (2015)
2392.94	126.8237	Cauquoin et al. (2015)
2393.05	118.3077	Cauquoin et al. (2015)
2393.16	123.0493	Cauquoin et al. (2015)
2393.27	128.9909	Cauquoin et al. (2015)
2393.38	95.4846	Cauquoin et al. (2015)
2393.49	168.8724	Cauquoin et al. (2015)
2393.60	96.5509	Cauquoin et al. (2015)
2393.71	128.1469	Cauquoin et al. (2015)
2393.82	128.5022	Cauquoin et al. (2015)
2393.93	130.2844	Cauquoin et al. (2015)
2394.04	112.6973	Cauquoin et al. (2015)
2394.15	102.7932	Cauquoin et al. (2015)
2394.26	104.4205	Cauquoin et al. (2015)
2394.37	106.8095	Cauquoin et al. (2015)
2394.48	132.8128	Cauquoin et al. (2015)
2394.59	118.7995	Cauquoin et al. (2015)
2394.70	118.9283	Cauquoin et al. (2015)
2394.81	111.5580	Cauquoin et al. (2015)
2394.92	112.8853	Cauquoin et al. (2015)
2395.03	122.0348	Cauquoin et al. (2015)
2395.14	104.3738	Cauquoin et al. (2015)
2395.25	133.3043	Cauquoin et al. (2015)
2395.36	107.8457	Cauquoin et al. (2015)
2395.47	112.9405	Cauquoin et al. (2015)
2395.58	125.5566	Cauquoin et al. (2015)
2395.69	130.9581	Cauquoin et al. (2015)
2395.80	104.1094	Cauquoin et al. (2015)
2395.91	117.1419	Cauquoin et al. (2015)
2396.02	130.2963	Cauquoin et al. (2015)
2396.13	122.4823	Cauquoin et al. (2015)
2396.24	122.5368	Cauquoin et al. (2015)
2396.35	105.1364	Cauquoin et al. (2015)
2396.46	108.7254	Cauquoin et al. (2015)
2396.57	101.1637	Cauquoin et al. (2015)
2396.68	89.9469	Cauquoin et al. (2015)
2396.79	73.1296	Cauquoin et al. (2015)
2396.90	178.5285	Cauquoin et al. (2015)
